name,latitude,longitude,place_id
East York Medical Health Centre,43.70548649999999,-79.34606649999999,ChIJZ6wqCaNNV0ARRarl4gWXTD0
Achieva Health,43.7055345,-79.3499889,ChIJ2cGTUuTM1IkRUXjEFUAfamo
Not with st. Mike's hospital,43.7060043,-79.3444055,ChIJQRq2gy_N1IkRZdVDBbcsAnQ
Alpha lab,43.7057953,-79.3460276,ChIJ4fVjFADN1IkRcMz9aVTJRwc
Assessment Centre Ontario,43.7098214,-79.3326132,ChIJgWmWKBPN1IkRz3PGZIU3o2Y
Ariana pharmacy,43.7143384,-79.3357953,ChIJT9BnmwDN1IkRpV4S6jL03C4
Ariana Medical center - walk in clinic,43.71435,-79.3358006,ChIJT9BnmwDN1IkRIUw6CQEZf5o
Lyte Clinic,43.710278,-79.3555868,ChIJt4-DB2TN1IkRxS_H3PY15UY
